№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
1398;"Мемориал в память обороны города в 1941-1944 гг. - ""Зеленый пояс Славы  Ленинграда"". ""Кировский вал""";106673.64;83318.56;Маршала Жукова пр. (напротив дома 38, корп.1 по Стойкости ул.;29.7711807346;60.0472916081
1399;«Полежаевский парк»;106884.12;83242.77;Маршала Жукова пр., Ветеранов пр.;29.7698074;60.04917841
1400;Здание училища и Совета реформатских церквей;112389.34;93285.76;Матвеева пер., д. 1а, лит. А;29.9499813253;60.0987820253
1401;Памятник нейрохирургу Поленову А.Л.;115876.83;94136.95;Маяковского ул., 12;29.9652480191;60.1300888835
1402;Здание Литейной женской гимназии;115984.29;94596.66;Маяковского ул., 19/15, литера А, помещение 4-Н;29.973518239;60.1310553148
1403;Дом, где в 1910-1927 гг. жил юрист, литератор Кони А.Ф.;115932.98;94079.03;Маяковского ул., 3;29.9642053841;60.1305925766
1404;Дом А.Е. Бурцева;115898.2438;94645.2255;Маяковского ул., 30, лит. А;29.9743926504;60.1302831832
1405;Палисадник;115871.98;94122.85;Маяковского ул., д. 12;29.9649943815;60.1300452852
1406;Ограда;115887.03;94121.54;Маяковского ул., д. 12;29.9649706677;60.1301803597
1407;Здание Александринской женской больницы с палисадником и оградой (Ленинградский научно-исследовательский нейрохирургический институт им. проф. А.Л. Поленова);115856.50;94125.94;Маяковского ул., д. 12, лит. Р;29.9650501244;60.1299063597
1408;Главное здание;115849.22;94138.89;Маяковского ул., д. 12, лит. Р;29.965283186;60.12984108
1409;Пруд Орлиный с Верхним Орлиным шлюзом и мостом;90107.02;85813.93;"Между Руинным прудом и павильоном ""Озерки""";29.8167884322;59.8986656057
1410;Пруд Мельничный (с тремя островами) с мостом и гротом;90351.69;86014.39;"Между Царской мельницей и павильоном ""Озерки""";29.8203580574;59.900866636
1411;Дача Гербель с участком;113013.16;106441.77;Межозерная ул., 4;30.1864879277;60.1042596615
1412;Каретный сарай;110111.23;113880.10;Межозерная ул., д. 7, лит. А;30.319957837;60.077958049
1413;Конюшенный корпус;110061.25;113864.93;Межозерная ул., д. 7, лит. Б;30.3196809986;60.0775101166
1414;Водонапорная башня;110098.12;113790.52;Межозерная ул., д.14, корп. 2;30.318347569;60.0778442602
1415;Флигель музейный;112959.12;94879.22;"Менделеевская линия, 1; Биржевой пр., Таможенный пер., 2";29.9786199603;60.103903869
1416;Ограда;112805.76;94938.22;Менделеевская линия, 2;29.9796814909;60.1025275544
1417;Сад у здания Двенадцати Коллегий;112813.43;94931.75;Менделеевская линия, 2;29.9795651381;60.1025963784
1418;Институт Императорский клинический повивально-гинекологический (Институт Отта Д.О.);112951.84;95018.57;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9811251632;60.1038389129
1419;Главное здание;112888.27;94998.47;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.980764153;60.1032682873
1420;Родильный павильон 4-й с лазаретом и изолятором;112926.28;95076.46;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9821660046;60.1036096452
1421;Корпус квартирный;112967.09;94982.04;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9804683643;60.1039756929
1422;Флигель людской;112976.14;95073.53;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.982113085;60.1040571568
1423;Секционная с часовней;112954.54;95091.13;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9824295952;60.1038633288
1424;Службы;113004.69;95039.01;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9814923531;60.104313321
1425;Флигель хозяйственный;112955.92;95034.16;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.981405411;60.1038755732
1426;Сад во внутреннем дворе;112890.37;95043.00;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9815646652;60.1032872513
1427;Сад угловой;112910.00;94942.09;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9797504798;60.103463172
1428;Палисадники (четыре);112884.48;95088.84;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9823887671;60.1032344993
1429;Фонари (четырнадцать);112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9811379336;60.1038278749
1430;Ограда с семью воротами и тремя калитками;112844.05;94976.17;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9803635016;60.1028713308
1431;Родильные павильоны 1-й, 2-й, 3-й;112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9811379336;60.1038278749
1432;Фонтаны (два);112950.61;95019.28;"Менделеевская линия, 3; Биржевой проезд, 1, 2";29.9811379336;60.1038278749
1433;Гостиный двор Новобиржевой;112797.90;95151.76;Менделеевская линия, 5;29.9835202827;60.1024575476
1434;Петроградская узловая железнодорожная больница (комплекс с территорией, парком и оградой);118862.64;100081.24;Мечникова пр., 27;30.0722549322;60.1568729391
1435;Главный корпус с цандеровским флигелем, конференц-залом и кухонным флигелем;118855.70;100040.54;Мечникова пр., 27;30.0715219368;60.1568110458
1436;Дом главного врача (первого главного врача больницы Ващенко);118770.26;99958.43;Мечникова пр., 27;30.0700418081;60.1560449722
1437;Жилой дом для служащих;119092.52;100245.01;Мечникова пр., 27;30.0752085382;60.1589345746
1438;Корпус у ж.-д. путей;119207.71;100238.98;Мечникова пр., 27;30.0751023035;60.1599685149
1439;Часовня с прозекторской;118870.81;99918.55;Мечникова пр., 27;30.0693256241;60.1569478278
1440;Парк;118882.94;100103.74;Мечникова пр., 27;30.072660477;60.1570549195
1441;Три павильона инфекционного отделения;118966.80;100219.43;Мечникова пр., 27;30.0747453523;60.157806444
1442;Дом Штакеншнейдера;114201.38;95080.81;"Миллионная ул., 10 (б. ул. Халтурина); Мойки р. наб., 9";29.9822379593;60.1150543139
1443;Особняк А.П. Гагариной (дом Н.П. Жеребцовой);114201.05;95234.35;Миллионная ул., 11, лит. А;29.9849991597;60.1150516987
1444;Особняк Гинцбург;114145.67;95048.55;"Миллионная ул., 14 (б. ул. Халтурина); Мойки р. наб., 13";29.9816580908;60.1145542091
1445;Дом Чернышева А.И. (Барятинских);114063.74;95099.42;"Миллионная ул., 21; Мошков пер., 6";29.9825732957;60.1138189723
1446;Дом жилой;114040.36;95004.63;Миллионная ул., 22;29.9808688192;60.1136088868
1447;Дом Апраксина Ф.А. (Абамелек-Лазарева С.С.);114046.57;94987.11;"Миллионная ул., 22; Мойки р. наб., 21";29.9805537274;60.1136645781
1448;Дом жилой;114010.72;94986.66;Миллионная ул., 24;29.9805458273;60.1133428055
1449;Дом Макарова А.В. (Абамелек-Лазарева С.С.);114015.63;94977.15;"Миллионная ул., 24; Мойки р. наб., 23";29.9803747858;60.1133868496
1450;Дом Г.А. Меньшикова (Запасный дом дворца вел. кн. Владимира Александровича);113920.93;95076.59;Миллионная ул., 29, лит. А;29.9821634487;60.1125371267
1451;Здание казарм Первого батальона  лейб-гвардии Преображенского полка;113872.78;94963.89;Миллионная ул., 33, лит. А;29.9801371173;60.1121046644
1452;Архив Государственного Совета;113870.88;94856.05;"Миллионная ул., 36; Зимней канавки наб., 3";29.9781979528;60.1120873022
1453;Жилой дом штаба Гвардейского корпуса;113809.02;94806.41;Миллионная ул., 38, лит. А;29.9773057143;60.1115319264
1454;Главная аптека;114275.35;95174.96;"Миллионная ул., 4; Аптекарский пер., 1";29.983930785;60.1157184504
1455;Ограда (две);114365.15;95375.00;"Миллионная ул., 5; Дворцовая наб., 6";29.9875279822;60.1165248437
1456;Сад;114382.26;95340.81;"Миллионная ул., 5; Дворцовая наб., 6";29.9869130341;60.1166783539
1457;"Статуя фонтанная ""Путто с веткой""";114384.10;95347.28;"Миллионная ул., 5; Дворцовая наб., 6";29.9870293869;60.1166948804
1458;Мраморный дворец;114349.74;95336.89;"Миллионная ул., 5; Дворцовая наб., 6; Мраморный пер.; Суворовская пл.";29.9868426536;60.1163864638
1459;Дворец;114323.94;95313.57;"Миллионная ул., 5; Дворцовая наб., 6; Мраморный пер.; Суворовская пл.";29.9864233566;60.1161548531
1460;Корпус служебный;114415.76;95356.44;"Миллионная ул., 5; Дворцовая наб., 6; Суворовская пл.";29.9871940123;60.1169790607
1461;Конюшенный двор с домом для прислуги при дворце вел. кн. Михаила Николаевича;114215.38;95145.57;Миллионная ул., 6, лит. А;29.9834025118;60.115180124
1462;Главное здание Конюшенного двора;114214.31;95147.29;Миллионная ул., 6, лит. А;29.9834334486;60.1151705242
1463;Дом для прислуги;114294.40;95038.86;Миллионная ул., 6, лит. А;29.981483073;60.1158891092
1464;Дом жилой (с дворовыми флигелями);114261.36;95246.78;Миллионная ул., 7;29.985222449;60.1155930361
1465;Дом Д.С. Бортнянского, в котором композитор жил в 1797-1825 годах;114246.04;95222.40;Миллионная ул., 9, лит.А;29.9847840666;60.1154554811
1466;Костел св. Марии на Выборгском римско-католическом кладбище с территорией;116684.67;97677.56;Минеральная ул., 23;30.0289562283;60.1373411369
1467;Ворота;116913.59;93054.47;Миргородская ул., 3, без лит.;29.9457568965;60.1393877031
1468;Административный корпус с приемным покоем;117112.28;92902.90;Миргородская ул., 3, лит. А;29.9430260165;60.1411698855
1469;Комплекс Александровской барачной больницы (больницы им. С.П. Боткина);117013.16;92872.05;Миргородская ул., 3, лит. А, В, Г, Д, Е, Ж, З, С, У, Щ, Ю, Я;29.9424723436;60.1402799978
1470;Жилой дом для персонала;117099.75;92818.83;Миргородская ул., 3, лит. В;29.9415131397;60.1410567609
1471;Изолятор;117037.83;92819.15;Миргородская ул., 3, лит. Г;29.9415198897;60.1405010035
1472;Три павильона летучих инфекций (детский и два взрослых);116931.00;92954.03;Миргородская ул., 3, лит. Е, Д, С;29.9439490256;60.1395432098
1473;Изолятор;117048.91;92758.72;Миргородская ул., 3, лит. Ж;29.9404321226;60.1405999649
1474;Хирургический корпус;117062.35;92680.40;Миргородская ул., 3, лит. З;29.9390223332;60.1407199511
1475;Одноэтажный лечебный корпус;117067.38;92618.36;Миргородская ул., 3, лит. У;29.937905678;60.1407645768
1476;Одноэтажный лечебный корпус;116990.52;92604.16;Миргородская ул., 3, лит. Щ;29.9376514227;60.1400746032
1477;Прозекторская;116955.43;92675.83;Миргородская ул., 3, лит. Ю;29.9389418699;60.1397602577
1478;Аптека и лаборатория;116970.27;92716.50;Миргородская ул., 3, лит. Я;29.9396735653;60.1398937902
1479;Дом причта;112860.68;90160.41;Митрофаньевское шоссе, д.10;29.8937904848;60.1029792796
1480;Церковный дом;112869.56;90359.92;Митрофаньевское шоссе, д.4;29.8973768219;60.1030618178
1481;Митрофаниевское кладбище (православное и лютеранское) с территорией и зданиями;112868.37;90274.03;Митрофаньевское шоссе, д.4, 6, 8, 10, 16 (Митрофаньевское шоссе, д.4-6-8 лит. А, 8а лит. Б, 8а лит. В, 10 лит. А);29.8958328098;60.1030499281
1482;Здание церковно-приходской школы;112867.23;90302.72;Митрофаньевское шоссе, д.6;29.8963486025;60.1030401018
1483;Дом причта;112864.35;90238.38;Митрофаньевское шоссе, д.8;29.8951920443;60.1030133395
1484;Мост;114828.68;94612.97;Михайловский сад;29.9738200095;60.1206832247
1485;Жилой дом;114723.41;96306.73;Мичуринская ул., 1, лит. А;30.004284966;60.119740951
1486;Пожарное отделение и полицейское управление Петровской части;114536.76;96406.42;"Мичуринская ул., 5; Пеньковая ул., 6";30.0060777078;60.1180656098
1487;Главное здание с каланчой, учебной башней, служебным корпусом, оградой и двумя воротами;114528.51;96398.15;"Мичуринская ул., 5; Пеньковая ул., 6";30.0059289573;60.1179915685
1488;Тяговая подстанция «Клинская» (№ 15) – первая давшая ток 7 марта 1942 года для блокадного трамвая;114387.66;92028.77;Можайская ул., д. 19, литера А;29.9273476841;60.1167074252
1489;Особняк;113984.42;94817.86;Мойки наб. р., 16, лит. А;29.9775105192;60.1131062636
1490;Особняк и дом Жадимировских (Н.Е. Демидовой);114075.20;94776.30;"Мойки наб. р., 16, лит. А; Большая Конюшенная ул., 7, лит. А";29.9767625856;60.1139209283
1491;Ограда;114897.35;94949.47;Мойки р. наб.;29.9798721366;60.1213006406
1492;"Ансамбль ""Новая Голландия""";112310.38;93561.90;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б";29.9549458341;60.0980751108
1493;"Тюрьма (""Арестантская башня"")";112158.06;93562.03;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б";29.9549500472;60.0967079616
1494;Ковш и внутренние каналы;112327.19;93546.12;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б";29.9546619909;60.0982258918
1495;Кузница;112215.79;93556.44;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б";29.9548488621;60.0972260835
1496;Склады лесные (три) с аркой;112393.03;93535.20;"Мойки р. наб., 103; Крюкова канала наб., 1, корп. 1, 8, 12, 16, 17; Адмиралтейского канала наб., 4-а, 4-б";29.9544648906;60.0988167717
1497;Дом Воронцовой М.В. (дворец Великой княгини Ксении Александровны);112331.66;93335.92;Мойки р. наб., 106;29.950883711;60.0982646572
1498;Дом жилой;112293.79;93297.67;Мойки р. наб., 106;29.9501967046;60.0979244964
1499;Ограда во дворе;112318.92;93328.28;Мойки р. наб., 106;29.9507465579;60.0981502579
1500;Ограда;112301.90;93373.35;Мойки р. наб., 106;29.9515568878;60.0979977952
1501;Палисадник;112338.87;93317.68;Мойки р. наб., 106;29.95055576;60.0983292479
1502;Сад;112282.01;93320.85;Мойки р. наб., 106;29.9506135065;60.0978189217
1503;Флигели (три);112313.85;93276.45;Мойки р. наб., 106;29.9498150161;60.0981044003
1504;Демидовский дом призрения трудящихся;112212.15;93373.24;Мойки р. наб., 108;29.9515560991;60.0971922423
1505;Гимназия женская;112206.85;93399.86;Мойки р. наб., 108;29.9520346322;60.0971448472
1506;Главный дом с четырьмя флигелями;112200.25;93356.91;Мойки р. наб., 108;29.9512627447;60.0970853254
1507;Сад;112197.18;93342.43;Мойки р. наб., 108;29.9510025255;60.097057674
1508;Доходный дом Шретера;112095.51;93440.26;Мойки р. наб., 112;29.9527622122;60.0961457761
1509;Особняк Шретера;112055.98;93451.55;"Мойки р. наб., 114; Писарева ул., 2";29.9529656387;60.0957910467
1510;Дом Волконских;114032.96;94857.56;Мойки р. наб., 12;29.9782241343;60.1135420547
1511;Главный дом с флигелями. Здесь в 1836-1837 гг. жил поэт Пушкин А.С.;114024.86;94866.68;Мойки р. наб., 12;29.9783881852;60.1134693804
1512;Конюшня и каретный сарай;114053.89;94831.17;Мойки р. наб., 12;29.9777494412;60.1137298319
1513;Дом Баташовых со служебным флигелем;111972.68;93430.23;Мойки р. наб., 120;29.9525835322;60.0950432488
1514;Дворец;111923.15;93392.17;Мойки р. наб., 122;29.9519001435;60.0945984435
1515;Ограда;111911.70;93441.02;"Мойки р. наб., 122; Английский пр., 2";29.9527782445;60.0944959916
1516;Дворец Великого князя Алексея Александровича;111880.68;93404.66;"Мойки р. наб., 122; Английский пр., 2; Писарева ул.";29.9521251749;60.0942173351
1517;Главное здание (концертный зал с учебными флигелями);114002.71;94728.99;Мойки р. наб., 20;29.9759122916;60.1132701413
1518;Ограда;113948.07;94735.24;Мойки р. наб., 20;29.9760250431;60.1127797409
1519;Капелла Придворная певческая;113988.61;94731.53;"Мойки р. наб., 20; Большая Конюшенная ул., 11";29.9759580607;60.1131435952
1520;Дом жилой;114057.21;94975.59;Мойки р. наб., 21;29.9803465077;60.1137600464
1521;Дом жилой;114027.29;94963.11;Мойки р. наб., 23;29.9801222452;60.1134914657
1522;Круглый рынок;114367.59;95016.20;Мойки р. наб., 3;29.9810751729;60.1165459668
1523;Дом П.Ф. Скрипицына;113960.15;94580.15;Мойки р. наб., 30, лит. А;29.9732360732;60.1128876253
1524;Типография Министерства внутренних дел;113983.01;94560.84;"Мойки р. наб., 32; Волынский пер., 2";29.9728886629;60.1130927338
1525;Дом Аракчеева А.А.;113899.38;94821.16;"Мойки р. наб., 35; Зимней канавки наб., 5";29.9775703862;60.1123429978
1526;Училище при реформатских церквях;113998.67;94477.19;Мойки р. наб., 38, лит. А;29.9713843029;60.1132329706
1527;Дом по наб. р. Мойки с флигелями;113985.69;94437.06;Мойки р. наб., 40;29.9706627662;60.1131163094
1528;Памятник педагогу Ушинскому К.Д.;113927.58;94134.62;Мойки р. наб., 48;29.965224686;60.1125934166
1529;"Сад ""Старый""";114027.40;94100.78;Мойки р. наб., 48, за корп. 5;29.9646151993;60.1134891879
1530;Флигель аптекарский;113950.21;94204.70;Мойки р. наб., 48, корп. 10;29.9664846733;60.1127968594
1531;Флигель дамский;113869.18;94061.42;Мойки р. наб., 48, корп. 11;29.9639089638;60.1120688931
1532;Церковь Покрова Пресвятой Богородицы;113957.34;94055.36;Мойки р. наб., 48, корп. 4;29.9637991188;60.1128601426
1533;"Ограды ""Старого"" сада (две)";114087.00;94168.68;Мойки р. наб., 48, корп. 4, 6;29.9658356683;60.1140244501
1534;Дворец Разумовского К.Г. (Николаевский сиротский институт);113949.74;94114.08;Мойки р. наб., 48, корп. 5;29.9648551175;60.1127922153
1535;Корпус лазаретный;114034.67;94169.42;Мойки р. наб., 48, корп. 6;29.9658494655;60.1135547661
1536;Конюшни с флигелем;114055.89;94208.41;Мойки р. наб., 48, корп. 8;29.9665504188;60.1137454063
1537;Корпус прачечный;113989.88;94213.94;Мойки р. наб., 48, корп. 9;29.9666504675;60.1131529594
1538;Бани;114025.23;94215.82;Мойки р. наб., 48, корп. 9-а;29.9666839519;60.1134702516
1539;Ограда с воротами дворца Разумовского К.Г.;113904.40;94143.56;Мойки р. наб., 48, перед корп. 5;29.9653856671;60.1123854071
1540;Сад парадного двора дворца Разумовского К.Г.;113922.22;94135.56;Мойки р. наб., 48, перед корп. 5;29.9652416404;60.1125453124
1541;Воспитательный дом Императорский;113923.52;93974.54;"Мойки р. наб., 48-54; Гороховая ул., 18; Казанская ул., 3";29.9623461315;60.1125561834
1542;"""Мамкин"" сад";113909.20;93949.93;Мойки р. наб., 50, за корп. 1, 2;29.9619037386;60.1124275269
1543;Корпус квартирный Воспитательного дома;113820.65;93991.56;Мойки р. наб., 50, корп. 12;29.9626532412;60.1116329617
1544;Дом Штегельмана Г.Х. (Александринский сиротский дом);113891.13;93988.07;Мойки р. наб., 50, корп. 2;29.9625897628;60.1122655366
1545;Ограда с воротами дома Штегельмана Г.Х.;113826.87;94026.82;Мойки р. наб., 50, корп. 2;29.9632872138;60.1116889677
1546;Корпус учебный Сиротского института;113970.20;93986.45;Мойки р. наб., 50, корп. 3;29.962559821;60.1129752205
1547;Сад парадного двора дома Штегельмана Г.Х.;113854.41;94007.34;Мойки р. наб., 50, перед корп. 2;29.9629366498;60.1119360546
1548;Бюст государственного деятеля Бецкого И.И.;113818.18;93959.73;Мойки р. наб., 52;29.9620809089;60.1116106284
1549;Воспитательный дом;113850.38;93931.82;Мойки р. наб., 52, корп. 1;29.9615787008;60.1118994937
1550;Корпус грудных детей Воспитательного дома;113907.14;93882.04;Мойки р. наб., 52, корп. 1;29.9606829529;60.1124086782
1551;Корпус родовспомогательный Воспитательного дома;113791.11;93945.02;Мойки р. наб., 52, корп. 13;29.9618166811;60.1113675853
1552;Сад парадного двора Воспитательного дома;113817.77;93957.90;Мойки р. наб., 52, перед корп. 1;29.9620480066;60.111606939
1553;Ограда с воротами Воспитательного дома;113783.96;93983.99;Мойки р. наб., 52, у корп. 1;29.9625174963;60.1113036121
1554;Сад при училище глухонемых;113787.28;93913.96;Мойки р. наб., 54, за корп. 20;29.9612582143;60.1113330458
1555;Училище глухонемых;113768.99;93892.63;"Мойки р. наб., 54, корп. 20; Гороховая ул., 18";29.9608748638;60.1111687706
1556;Дом, где в 1912-1918 гг. жил основатель оркестра русских народных инструментов Андреев В.В.;113496.22;93814.11;"Мойки р. наб., 64; Гривцова пер., 1";29.9594659863;60.1087200972
1557;Дом Кочубея П.А. (Военного ведомства);113717.94;94028.32;Мойки р. наб., 67;29.9633152811;60.1107112747
1558;Дом, где в первой половине XIX в. размещалась Российско-Американская компания. Здесь в 1820-х гг. жили декабристы Бестужев-Марлинский А.А. и Рылеев К.Ф.;113237.96;93687.24;Мойки р. наб., 72;29.9571878735;60.1064013626
1559;"Здание Торгового дома ""Эсдерс и Схеффальс""";113633.72;93992.89;"Мойки р. наб., 73; Гороховая ул., 15";29.9626790677;60.1099551792
1560;Дом Монферрана О. (Ратькова-Рожнова Я.В.) Здесь в 1836-1858 гг. жил архитектор Монферран О.;112922.87;93603.16;"Мойки р. наб., 86-88; Прачечный пер., 2";29.9556800311;60.1035727713
1561;Дом И.Г. Чернышева (графа А.П. Шувалова) с флигелем, службами и оградой;112880.90;93602.79;"Мойки р. наб., 90; Прачечный пер., 1";29.9556738884;60.1031960671
1562;Дворец с шестью флигелями;112834.00;93518.71;Мойки р. наб., 94;29.9541629606;60.1027745984
1563;Флигель;112824.55;93448.55;Мойки р. наб., 94;29.9529018242;60.1026893348
1564;Дворец Юсуповых;112804.42;93529.55;"Мойки р. наб., 94; Декабристов ул., 21";29.9543581992;60.1025091706
1565;Доходный дом В.А. Шретера;112067.35;93405.64;Мойки р. наб., д. 112, лит. А;29.9521403458;60.0958928009
1566;Особняк Пущиных;114006.54;94836.51;Мойки р. наб., д. 14, лит. Б;29.9778457583;60.1133048586
1567;Особняк А.И. Эбелинг;113990.25;94960.32;Мойки р. наб., д. 25, лит. А;29.9800722768;60.1131590058
1568;Доходный дом С.Д.Башмакова;114026.50;94371.86;Мойки р. наб., д. 42, лит. А;29.9694899642;60.1134823321
1569;Пристань;114734.00;94849.00;Мойки р. наб., Михайловский сад;29.9780659703;60.1198342051
1570;Павильон садовый;114731.49;94835.25;Мойки р. наб., Михайловский сад;29.9778186755;60.119811635
1571;"Статуя ""Аполлон""";91381.42;88319.50;Монплезирская аллея;29.861506335;59.9101590037
1572;"Статуя ""Меркурий Капитолийский"" (""Антиной"")";91381.42;88319.50;Монплезирская аллея;29.861506335;59.9101590037
1573;Мост;90371.47;88700.55;Морского Десанта ул., через овраг;29.868352647;59.9011009311
1574;Памятник Ленину В.И.;114174.34;84951.88;Московская пл.;29.8000856952;60.1146615453
1575;Дом культуры им. Ильича завода “Электросила”;114078.64;88542.44;Московский  пр., 152, лит. А;29.8646593921;60.1138844619
1576;Монастырь Воскресенский Новодевичий;113993.76;90099.65;Московский пр., 100;29.8926650454;60.1131483389
1577;Больница;114111.91;90173.48;Московский пр., 100;29.893989278;60.1142098637
1578;Дом для приходящих богомольцев;114099.09;90070.48;Московский пр., 100;29.8921373969;60.1140932987
1579;Корпус северный с церковью Трех Святителей Вселенских;114012.15;90187.36;Московский пр., 100;29.8942417611;60.1133146702
1580;Корпус южный с церковью Афонской Божией Матери;114040.11;90052.56;Московский пр., 100;29.8918168814;60.1135636615
1581;Собор Воскресенский;114015.24;90125.53;Московский пр., 100;29.8931298067;60.1133415095
1582;Церковь Казанская;114089.33;90128.38;Московский пр., 100;29.8931788985;60.1140065441
1583;Новодевичье кладбище;114278.15;89989.18;Московский пр., 100;29.8906700376;60.1156992454
1584;Ворота;114130.97;90130.61;Московский пр., 100;29.8932177878;60.1143803154
1585;Хозяйственные постройки (три);114100.75;90003.41;Московский пр., 100;29.890931226;60.1141072076
1586;Кладбище;114281.85;90006.60;Московский пр., 100;29.8909832071;60.1157327135
1587;Заводоуправление Товарищества Петербургского вагоностроительного завода;113906.54;88989.05;Московский пр., 115, лит. А;29.872696708;60.1123477643
1588;"Слесарно-сборная мастерская Петербургского товарищества вагоностроительного завода синдиката вагоностроительных заводов ""Продвагон""";113621.95;89144.24;Московский пр., 115, лит. В;29.8754970048;60.1097960929
1589;Здание малярной мастерской Санкт-Петербургского вагоностроительного завода;113626.63;89050.73;"Московский пр., 115; Заставская ул., 40";29.8738154712;60.1098365031
1590;Парк Победы Московский;114116.22;86791.99;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8331795658;60.1141857822
1591;Каналы Восточный, Северный, Южный;114641.19;86963.57;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8362416648;60.1189014827
1592;Летний театр;114454.17;86987.81;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8366859615;60.1172234333
1593;Мемориальная зона бывшего кирпичного завода (крематория);114278.74;86494.49;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8278219894;60.1156376137
1594;Павильон на Флотской аллее (лодочная станция);114580.41;86595.12;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8296176928;60.1183475816
1595;Павильон Насосный;114144.72;86765.36;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8326993783;60.1144409775
1596;"Павильон ""Терраса"" (Молочный буфет)";114258.18;87104.65;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8387959049;60.1154669131
1597;"Павильон шахматно-шашечный (кинотеатр ""Глобус"")";114277.02;86589.92;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8295382652;60.1156243997
1598;Памятник Космодемьянской З.А., Герою Советского Союза;114211.65;86742.27;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8322810876;60.1150411784
1599;Памятник Дьен Р.;114126.50;86939.63;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.835834121;60.1142813734
1600;Памятник Матросову А.М., Герою Советского Союза;114164.56;86879.22;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8347460487;60.1146216257
1601;Парк;114488.15;86764.78;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8326732868;60.1175234035
1602;Подстанция трансформаторная;114813.78;87113.40;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8389288704;60.1204538657
1603;Постаменты для скульптур львов на Квадратных прудах (два), 1950-е гг.;114140.42;86662.77;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8308546831;60.1144000356
1604;Пропилеи;114056.89;86828.31;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8338353963;60.113654091
1605;Пруд Адмиралтейский;114511.82;86491.92;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8277648301;60.1177295509
1606;Пруд Детский;114768.22;86601.61;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8297257008;60.1200334104
1607;Пруд Капитанский;114675.71;86590.31;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8295267553;60.1192028301
1608;Пруд Корабельный;114470.19;86622.07;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8301075006;60.1173589314
1609;Пруд Матросский;114798.82;86443.85;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8268867516;60.1203043745
1610;"Пруд ""Очки"" (два Квадратных пруда)";114149.07;86662.00;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8308404374;60.1144776555
1611;Пруд Пейзажный;114196.40;86936.78;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8357797408;60.114908694
1612;Пруд Фигурный;114387.00;86939.91;Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.;29.8358275006;60.1166194852
