№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
689;Дворец Бобринских;111991.03;93651.29;"Галерная ул., 58-60; Адмиралтейского кан. наб., 33; Ново-Адмиралтейского кан. наб., 6"
690;Дворец с двумя флигелями;112008.44;93638.99;"Галерная ул., 58-60; Адмиралтейского кан. наб., 33; Ново-Адмиралтейского кан. наб., 6"
691;Особняк С.В. Гвейера;111961.91;93776.00;Галерная ул., 73, лит. А
692;Особняк Е.Ф. Молво;111938.91;93773.57;Галерная ул., 75, лит. А
693;Музей сельскохозяйственный;115054.16;95226.58;"Гангутская ул., 1; Фонтанки р. наб., 10; Соляной пер., 11"
694;Чесменский дворец с флигелями;114432.00;85550.39;Гастелло ул., 15
695;Бюст Марцелла;114803.37;95386.98;Главная алеея
696;Дом Щербакова Г.И. (Кутайсова И.П., Гамбса Г.П.);113387.59;94285.92;"Гороховая ул., 1; Адмиралтейский пр., 8"
697;Дом И. Штрауха;113829.69;93722.86;"Гороховая ул., 25; Казанская ул., 21"
698;Дом Второго Российского общества страхования от огня с флигелями;113406.71;94255.03;Гороховая ул., 3
699;"Дом бывшего страхового общества ""Саламандра"" (фасады)";113479.85;94312.75;Гороховая ул., 4 (б. ул. Дзержинского)
700;Дом Васильевых;114206.21;93348.33;Гороховая ул., 40
701;Дом Компании для хранения и залога громоздких движимостей;114136.65;93338.81;Гороховая ул., 47
702;"Дом страхового общества ""Саламандра""";113490.18;94280.66;Гороховая ул., 6
703;Дом Домонтовичей;114580.55;92837.08;Гороховая ул., 66
704;Жилой дом;116926.38;94719.22;Госпитальная ул., дом 3, литера А
705;Аэродинамическая и электромеханическая лаборатории;116893.18;94735.81;Госпитальная ул., дом 3, литера Б
706;Дом Миллера В.;113593.16;93388.76;Гражданская ул., 10
707;"Доходный дом и производственный корпус акционерного общества ""Словолитня и производство медных линеек Г. Бертгольд""";113544.52;93429.64;Гражданская ул., 13-15, лит. А
708;Жилой дом;113393.53;93378.42;Гражданская ул., 21, лит. А
709;Канцелярия Съезда мировых судей;113379.76;93263.98;"Гражданская ул., 26; Грибоедова кан. наб., 75"
710;Дом, где в 1893-1899 гг. жил Григорович Дмитрий Васильевич;113337.10;93251.88;"Гражданская ул., 28; Грибоедова кан. наб., 77; Вознесенский пр., 32"
711;В этом доме в 1895 г. на квартире П.К. Запорожца, В.И. Ленин неоднократно присутствовал на собраниях петербургской социал-демократической группы;113630.65;93413.22;Гражданская ул., 6
712;Дом, где жили: в 1912-1936 гг. - путешественник Грум-Гржимайло Г.Е., в 1914-1922 гг. - певец Шаляпин Ф.И.;113127.63;98547.07;Графтио ул., 2-б
713;Дом, где жили: в декабре 1905 г. - Ленин В.И. и Крупская Н.К., в 1919-1936 гг. - писатель Тынянов Ю.Н.;116618.74;94270.00;"Греческий пр., 15; 5-я Советская ул., 8"
714;Городское начальное училище им. Имп. Александра II с территорией Греческого сада;116572.62;94375.11;"Греческий пр., 8; Прудковский пер., 1-3"
715;Городское начальное училище им. Имп. Александра II;116564.22;94357.89;"Греческий пр., 8; Прудковский пер., 1-3"
716;Греческий сад;116606.33;94452.14;"Греческий пр., 8; Прудковский пер., 1-3"
717;Ограда;114248.91;93849.39;Грибоедова кан. наб.
718;Дом Алафузовой Л.А. с двумя служебными флигелями и каретником;112847.52;93276.33;Грибоедова кан. наб., 101
719;Первое Санкт-Петербургское Общество взаимного кредита;114300.48;94423.39;Грибоедова кан. наб., 13
720;Главный дом;114311.16;94404.66;Грибоедова кан. наб., 13
721;Флигель;114309.97;94429.75;Грибоедова кан. наб., 13
722;Казарма для строевых рот с двумя воротами;112594.67;92692.83;Грибоедова кан. наб., 133
723;Служебный корпус;112504.69;92717.65;Грибоедова кан. наб., 133
724;Дом Т.Н. Любищевой с флигелями;112219.49;92553.55;Грибоедова кан. наб., 148-150
725;Дом С.С. Трайнина;112099.66;92469.56;Грибоедова кан. наб., 158
726;Дом Энгельгардта В.В. (Санкт-Петербургский учетный и ссудный банк);114377.32;94252.12;"Грибоедова кан. наб., 16; Невский пр., 30"
727;"Собор Воскресения Христова (""Спас на крови"")";114468.74;94761.78;Грибоедова кан. наб., 2-а
728;Часовня с ризницей;114468.12;94838.97;Грибоедова кан. наб., 2-а
729;Собор;114446.23;94746.68;Грибоедова кан. наб., 2-а
730;Ограда;114483.31;94709.68;Грибоедова кан. наб., 2-а
731;Дом Граббе М.М.;113958.89;93655.38;"Грибоедова кан. наб., 40; Гороховая ул., 26"
732;Дом ордена иезуитов;114403.64;94386.19;"Грибоедова кан. наб., 8; Итальянская ул., 1"
733;Дом купца Злобина;113136.11;93221.72;"Грибоедова кан. наб., 84; Большая Подьяческая ул., 1"
734;Первое Общественное собрание (Екатерининское);113080.93;93228.80;"Грибоедова кан. наб., 88-90; Средняя Подьяческая ул., 2"
735;Набережные и мосты Екатерининского канала (ныне канала Грибоедова);113705.84;93247.36;Грибоедова канал - по обоим берегам, от р. Мойки до р. Фонтанки
736;Сад;113532.25;93751.09;Гривцова пер., 1
737;Дом Демидова П.Г.;113602.94;93592.32;Гривцова пер., 1
738;Флигели (два) главного дома;113536.69;93746.75;Гривцова пер., 1
739;Кегельбан;113511.10;93739.52;Гривцова пер., 1, лит. А5
740;Усадьба Демидовых;113536.69;93746.75;"Гривцова пер., 1; Казанская ул., 29; Гривцова пер., 5; Мойки р. наб., 64"
741;Главный дом;113513.50;93777.44;"Гривцова пер., 1; Мойки р. наб., 64, лит. А2, А3, А6, А7, А8, А9"
742;Русское Географическое Общество;113638.46;93678.79;Гривцова пер., 10
743;Здание церкви Богоявления;110456.29;91244.83;Двинская ул., 2
744;"Бюст ""Амазонка""";114803.37;95386.98;Дворцовая аллея
745;Бюст Веспасиана;114803.37;95386.98;Дворцовая аллея
746;"Бюст ""День""";114803.37;95386.98;Дворцовая аллея
747;Бюст Марии-Казимиры;114803.37;95386.98;Дворцовая аллея
748;Бюст римского императора;114803.37;95386.98;Дворцовая аллея
749;Бюст Тита;114803.37;95386.98;Дворцовая аллея
750;Бюст юноши;114803.37;95386.98;Дворцовая аллея
751;Бюст Яна Собесского;114803.37;95386.98;Дворцовая аллея
752;Ограда;114745.69;95543.04;Дворцовая наб.
753;Набережная Дворцовая;113890.95;95122.80;Дворцовая наб. - левый берег р. Невы, от Троицкого моста до Дворцового моста
754;Спуски лестничные;114060.54;95221.93;Дворцовая наб. - левый берег р. Невы, от Троицкого моста до Дворцового моста
755;Набережная;114052.83;95214.57;Дворцовая наб. - левый берег р. Невы, от Троицкого моста до Дворцового моста
756;Дворец Великого князя Михаила Николаевича (Ново-Михайловский);114095.45;95154.14;"Дворцовая наб., 18; Миллионная ул., 19"
757;Дом Бецкого И.И. (принца Ольденбургского П.Г.);114598.47;95441.79;"Дворцовая наб., 2; Миллионная ул., 1; Лебяжьей канавки наб."
758;Дворец Великого князя Владимира Александровича;113956.32;95075.41;"Дворцовая наб., 26; Миллионная ул., 27"
759;Дом Гротена Ф. (Салтыкова Н.И.);114555.45;95419.72;"Дворцовая наб., 4; Миллионная ул., 3; Суворовская пл."
760;Дом жилой, (дворец Кантемира Д.К.);114243.70;95288.26;Дворцовая наб., 8
761;Особняк Громова И.Ф. (Ратькова-Рожнова В.А.);114251.44;95274.95;"Дворцовая наб., 8; Миллионная ул., 7; Мраморный пер."
762;Летний сад;114814.42;95299.25;Дворцовая наб., Лебяжьего кан. наб., Фонтанки р. наб., Мойки р. наб.
763;Памятник баснописцу Крылову И.А.;114788.06;95438.04;Дворцовая наб., Лебяжьего кан. наб., Фонтанки р. наб., Мойки р. наб.
764;Сад;114818.15;95289.01;Дворцовая наб., Лебяжьего кан. наб., Фонтанки р. наб., Мойки р. наб.
765;Штаб Гвардейского корпуса;113835.30;94756.60;"Дворцовая пл., 2-4; Миллионная ул., 40"
766;"Памятник императору Петру I (""Медный всадник"")";112959.31;94332.68;Декабристов пл.
767;Сенат и Синод;112904.83;94229.02;"Декабристов пл., 1, 3; Английская наб., 2; Галерная ул., 1, 2; Конногвардейский бульвар, 1"
768;Дом, в котором жил в 1867-1873 гг. Направник Эдуард Францевич;113066.69;93397.21;Декабристов ул., 16
769;Павильон садовый;112831.29;93343.31;Декабристов ул., 21
770;Сад;112800.97;93418.22;Декабристов ул., 21
771;Ограда с воротами;112844.82;93344.59;Декабристов ул., 21
772;Ограда парадного двора с воротами;112820.98;93494.87;"Декабристов ул., 21; Мойки р. наб., 94"
773;Дом, где в 1912-1921 гг. жил поэт Блок А.А.;111860.15;92933.72;Декабристов ул., 57, р. Пряжки наб., 22-24
774;Жилой дом;115561.12;99334.38;Диагональная ул., 10, лит. Д
775;Жилой дом;115424.93;99344.20;Диагональная ул., 4, корп. 1, лит. В
776;Здание общественного назначения;115411.51;99408.58;Диагональная ул., 4, корп. 2, лит. Б
777;Жилой дом;115524.93;99388.55;Диагональная ул., 8, лит. Е
778;"Жилой комплекс Товарищества борьбы с жилищной нуждой (""Выборгский рабочий городок"")";115535.43;99367.64;"Диагональная ул., 8, лит. Е; 10, лит. Д"
779;Дом Ю.Д. Лужецкого и Н.С. Рудинского;111338.90;97915.50;Динамо пр., 18, лит. А
780;Особняк Путилова А.И. с флигелем, палисадником, оградой;111807.64;98289.94;Динамо пр., 2, 2-а
781;Сфинксы (два);111108.51;93592.58;Директорский садик
782;Ограда с воротами;111111.62;93593.12;Директорский садик
783;Дом, где в 1914-1949 гг. жил гидроэнергетик Графтио Генрих Осипович;112848.55;95834.25;Добролюбова пр., 15
784;Дом М.К. Чаплиц;112742.59;95902.37;Добролюбова пр., 21а, лит. А
785;Собор Князь-Владимирский;112569.63;96063.57;"Добролюбова пр.; Блохина ул., 26; Большой пр. П.С.; Храмов пер."
786;Дом, где в 1846 г., 1878-1881 гг. жил писатель Достоевский Ф.М.;115679.08;93301.88;"Достоевского ул., 2; Кузнечный пер., 5"
787;Дом Г.В. Барановского;115457.34;92836.76;Достоевского ул., 36, лит. А
788;Дом Н.Н. Никонова;115430.14;92822.01;Достоевского ул., 38, лит. А
789;Два заводских корпуса;115387.38;92783.79;Достоевского ул., 40-44
790;Дума городская с башней;114452.93;94089.43;"Думская ул., 1-3; Невский пр."
791;Мытный двор;117234.78;93710.13;Евгеньевская ул., 2, лит. А
792;Парк;110516.00;99098.05;Елагин остров
793;Пристань со львами;109272.39;99179.59;Елагин остров
794;Ансамбль Елагина острова;111059.49;99254.22;Елагин остров, 4
795;Елагин дворец;111137.38;99104.63;Елагин остров, 4
796;"Пост ""Цветочный"" Николаевской железной дороги, откуда в марте 1918 г. отправился поезд, на котором Советское правительство переехало из Петрограда в Москву";114579.49;88639.10;ж.д. ст. Цветочная Петербургского железнодорожного узла
797;Набережная стадиона им. В.И.Ленина (кольцевая);112115.64;95996.83;Ждановки р. наб.
798;Дом, где в 1863-1870 гг. жил физиолог Сеченов И.М.;115765.64;94341.65;"Жуковского ул., 10; Чехова ул., 2"
799;Дом купца Ш.З. Иоффе;115239.07;93249.48;"Загородный пр., 11; Рубинштейна ул., 40"
800;Дом, в котором в 1908-1915 гг. жил актер Варламов К.А.;115137.52;93176.53;"Загородный пр., 13; Ломоносова ул., 13"
801;Дом, где в 1906 г. находилась явочная квартира РСДРП;114970.71;93094.77;Загородный пр., 21
802;Дом А. Королевой (Ш.З. Иоффа);115178.65;93098.07;Загородный пр., 24, лит. А
803;Дом М.Е. Кузнецова;114905.29;92991.84;Загородный пр., 27/21, лит. А
804;Дом, где в 1893-1908 гг. жил композитор Римский-Корсаков Н.А.;115118.89;93042.17;Загородный пр., 28
805;Дом А.Н. Штальман;114495.45;92690.28;"Загородный пр., 45; Большой Казачий пер., 13"
806;Вокзал Витебский;114449.37;92530.36;Загородный пр., 52
807;Подпорная стенка Императорской платформы с двумя лестницами и фонтаном;114503.33;92376.49;Загородный пр., 52
808;Дебаркадер;114542.71;92414.64;Загородный пр., 52
809;Вокзал;114464.54;92497.42;Загородный пр., 52
810;Павильон Императорский;114543.69;92294.84;Загородный пр., 52
811;Центральный пост;114728.11;92071.23;Загородный пр., 52
812;Пожарное депо;114252.02;92392.90;Загородный пр., 56
813;Подворье Коневецкого монастыря;115322.75;93322.59;Загородный пр., 7
814;Дом с часовней Божьей Матери Коневской;115330.78;93314.96;Загородный пр., 7
815;Флигель;115312.58;93323.05;Загородный пр., 7
816;Солдатская казарма;114763.08;92774.39;Загородный пр., д. 46, корпус 2, литера Б
817;Солдатская казарма;114708.69;92737.61;Загородный пр., д. 46, литера А
818;Сады;114102.10;92569.96;Загородный пр., д. 47
819;Ограда;114173.06;92396.64;Загородный пр., д. 47
820;Бюст Н.И.Пирогова;114115.10;92576.78;Загородный пр., д. 47 (на территории)
821;Главное здание;114025.72;92720.99;Загородный пр., д. 47, литера А
822;Корпус в память принца П.Г.Ольденбургского;114125.85;92740.37;Загородный пр., д. 47, литера А (корпус со стороны Введенского канала)
823;Женское отделение;114271.62;92497.29;Загородный пр., д. 47, литера Б
824;Приемный покой;114129.32;92425.42;Загородный пр., д. 47, литера В
825;Виварий;113986.88;92617.90;Загородный пр., д. 47, литера Д (двухэтажный корпус)
826;Санитарно-химический институт;114023.78;92597.50;Загородный пр., д. 47, литера Д (четырехэтажный корпус)
827;Корпус;114222.68;92535.93;Загородный пр., д. 47, литера И
828;Корпус;114150.60;92623.76;Загородный пр., д. 47, литера Л
829;Прачечная с квартирами служащих;114136.70;92665.07;Загородный пр., д. 47, литера М
830;Солдатская казарма;114602.55;92654.35;Загородный пр., д. 48, литера А
831;Офицерская казарма;114344.60;92436.12;Загородный пр., д. 54, литера А
832;Комплекс казарм Семеновского и Егерского полков;114881.22;92719.76;"Загородный пр.,д.46,л.А;д.46,к.2,л.Б;д.48,л. А;д.54,л.А;Звенигородская ул., д.1,лит.А;д.3,л.А;д.5,л.А;д.9-11,л.Л;Лазаретный пер.,д.2,л.И;Подъездной пер.,д.2,л.А;Рузовская ул., д.4,л.А;д. 8,л.А;д.10-12,л. А,В,Б;д.14а,л.А;д.14,л.А;д.16,л.А;д.18,л.А"
833;Канал Воскресенский;114940.42;94720.85;Замковая ул.
834;Мост трехлучевой;114968.11;94723.04;Замковая ул., у южного фасада замка
835;Особняк Мертенса с участком парка и оградой;112098.86;98613.33;Западная аллея, 1/2
836;Монетный двор;113626.14;95785.03;Западная часть крепости
837;"Бассейн с фонтаном ""Ева""";90796.09;88827.89;Западная часть Марлинской аллеи
838;Ансамбль Марли;90274.24;89019.14;Западная часть Нижнего парка
839;Дворец Марли;90260.05;88988.47;Западная часть Нижнего парка
840;Львиный (Эрмитажный) каскад;90616.38;88855.07;Западная часть Нижнего парка
841;"Пруд Песочный с фонтаном ""Китовый"" и фонтанными фигурами ""Дельфин"" (четыре)";90783.25;88672.16;Западная часть Нижнего парка
842;Эрмитаж;90658.40;89001.86;Западная часть Нижнего парка
843;Павильон Эрмитаж;90652.51;89013.15;Западная часть Нижнего парка
844;Пруд круглый;90152.06;88824.86;Западная часть Нижнего парка, верхняя терраса
845;Евинский пруд;90627.72;88672.47;Западная часть парка, верхняя терраса
846;Дом смотрителя (фрейлинский);110730.34;99210.60;Западнее Елагина дворца
847;Кладовые (дом служителей);110778.37;99214.96;Западнее Елагина дворца
848;Корпус конюшенный;110866.23;99197.39;Западнее Елагина дворца
849;"Статуя ""Венера Медицейская""";90322.86;88854.02;Западный парапет Марлинского каскада
850;"Статуя ""Нептун""";90322.86;88854.02;Западный парапет Марлинского каскада
851;"Статуя ""Отдыхающий сатир""";90322.86;88854.02;Западный парапет Марлинского каскада
852;"Статуя ""Флора""";90322.86;88854.02;Западный парапет Марлинского каскада
853;"Статуи ""Минерва"", ""Вулкан""";90322.86;88854.02;Западный парапет Марлинского каскада
854;Конторское здание;113722.09;89102.92;Заставская ул., 33, лит. БА
855;Производственные корпуса обувной фабрики;113736.61;89134.29;Заставская ул., 33, лит. БА
856;"Постройки товарищества механического производства обуви ""Скороход""";113736.61;89134.29;"Заставская ул., 33, лит. БА, ТА; Московский пр., 107, корп. 5, лит. Т"
857;Производственные корпуса кожевенного завода;113726.42;89244.02;"Заставская ул., 33, лит. ТА; Московский пр., 107, корп. 5, лит. Т"
858;Канцелярия Военно-походная;115901.78;95584.23;Захарьевская ул., 17
859;Дом А.И. Нежинской;116051.22;95566.73;Захарьевская ул., 23, лит. А, Б, В
860;Особняк Нейдгардта Д.В.;116265.56;95569.52;Захарьевская ул., 31
861;Придворный экипажный двор;115879.25;95723.89;Захарьевская ул., 8, лит. А
862;Типография (словолитня) Лемана;115139.07;92420.45;Звенигородская ул., 20
863;Старые Егерские казармы;114971.65;92573.73;Звенигородская ул., 5, литера А
864;Солдатская казарма;114808.15;92816.41;Звенигородская ул., д. 1, литера А
865;Солдатская казарма;114881.81;92719.58;Звенигородская ул., д. 3, литера А
866;Казарма нестроевой роты;115168.16;92257.67;Звенигородская ул., д. 9-11, литера Л
867;Дом, в котором жил в 1901-1913 гг. Крылов Алексей Николаевич. В 1907-1917 гг. здесь жил  Стеклов Владимир Андреевич;112523.55;96231.54;Зверинская ул., 6
868;Набережные и мосты Зимней канавки;113843.59;94936.97;Зимней канавки наб. - по обоим берегам, от Дворцовой наб. до р. Мойки наб.
869;Набережные с решетками и спусками;113835.52;94950.45;Зимней канавки наб. - по обоим берегам, от Дворцовой наб. до р. Мойки наб.
870;Ансамбль улицы Зодчего Росси;114863.52;93635.32;"Зодчего Росии ул., 1-3, 2; Островского пл., 6, 11; Ломоносова пл., 1, 2, 4; Торговый пер., 2"
871;Министерство народного просвещения;114787.12;93641.67;"Зодчего Росси ул., 1-3; Островского пл., 11; Ломоносова пл., 1, 2; Торговый пер., 2"
872;Дирекция императорских театров;114864.61;93661.39;"Зодчего Росси ул., 2; Островского пл., 6; Ломоносова пл., 4"
873;"Ушаковские бани ""Гигант""";111110.78;89571.94;Зои Космодемьянской ул., 7, лит. А
874;Особняк Ф. Тейхмана;111879.77;90490.69;Ивана Черных ул., 16, лит. К
875;Дом, где 30 июля 1917 г. заседал VI съезд РСДРП(б);111902.33;90461.26;Ивана Черных ул., 23
876;Жилмассив на Ивановской улице;120772.37;87515.36;"Ивановская ул., 19, лит. А; Ивановская ул., 17; лит. А, Ивановская ул., 13, лит. А; Ивановская ул., 9/75, лит. А; Ивановская ул., 8/77, лит. А; Ивановская ул., 14, лит. А; Ивановская ул., 20, лит. А; Ивановская ул., 26, лит. А"
877;Солдатская казарма;113311.38;91686.83;Измайловский пр., 12, лит. А
878;Солдатская казарма;113235.73;91850.89;Измайловский пр., 13, лит. А
879;Солдатская казарма с палисадником;113234.08;91763.58;Измайловский пр., 15, лит. А, Д
880;Солдатская казарма (госпитальный корпус);113233.78;91687.96;Измайловский пр., 17, лит. А
881;Офицерская казарма лейб-гвардии Измайловского полка (бывший дом М.А. Гарновского);113310.60;92320.65;"Измайловский пр., 2; наб. р. Фонтанки, 120"
882;Казарма 2-й артиллерийской бригады;113302.05;92140.21;Измайловский пр., 2а, лит. А
883;Комплекс казарм лейб-гвардии Измайловского полка;113237.22;91848.70;"Измайловский пр., 2а, лит. А; 6, лит. А; 8, лит. А; 9/2, лит. А, Б; 12, лит. А; 13, лит. А; 15, лит. А, Д; 17, лит. А; Троицкий пр., 4, лит. Б, В"
884;Собор Троицкий (Измайловский);113197.03;92094.84;Измайловский пр., 4-а, 7-а
885;Ограда;113225.79;92114.03;Измайловский пр., 4-а, 7-а
886;Сад;113187.86;92125.76;Измайловский пр., 4-а, 7-а
887;Собор;113174.60;92112.09;Измайловский пр., 4-а, 7-а
888;Часовня;113292.99;92040.20;Измайловский пр., 4-а, 7-а
889;Солдатская казарма (с кирпичной оградой);113327.25;91932.61;Измайловский пр., 6, лит. А
890;Солдатская казарма;113319.70;91850.15;Измайловский пр., 8, лит. А
891;Солдатская казарма (с двумя служебными флигелями);113231.25;92011.52;Измайловский пр., 9/2, лит. А, Б
892;Павильон восточный;115067.29;94557.48;Инженерная ул., 10
893;Дворец Великого князя Михаила Павловича (Русский музей Императора Александра III);114655.66;94639.94;Инженерная ул., 2, 4, 4-а, Садовая ул., 1
894;Корпус западный Русского музея;114453.37;94593.86;Инженерная ул., 2-4
895;Корпус главный Русского музея;114644.77;94599.93;Инженерная ул., 4
896;Флигель служебный западный Михайловского дворца;114530.36;94579.45;Инженерная ул., 4
897;Ограда парадного двора;114625.12;94514.36;Инженерная ул., 4
898;Сад парадного двора;114631.77;94544.70;Инженерная ул., 4
899;Корпус Этнографического отдела Русского музея (Этнографический музей);114756.61;94511.07;Инженерная ул., 4-а
900;Павильон западный;114995.56;94532.30;Инженерная ул., 8
901;Институт Лесной (Академия лесотехническая);115293.45;100830.96;Институтский пер., 5
902;Парк;115144.93;100752.73;Институтский пер., 5
903;Мост-плотина на Длинном пруду;114750.95;100835.50;Институтский пер., 5 парк
904;Корпус главный;115264.89;100650.31;Институтский пер., 5, корп. 1
905;Корпус Малый;115281.22;100788.26;Институтский пер., 5, корп. 10
906;Башня водонапорная;115618.86;100749.15;Институтский пер., 5, корп. 11
907;Корпус квартир профессоров (второй);115364.10;100620.44;Институтский пер., 5, корп. 13
908;Корпус ассистентский 2-й;115178.59;100796.60;Институтский пер., 5, корп. 3
909;Баня кадетская;115153.33;100864.12;Институтский пер., 5, корп. 5
910;Корпус ассистентский 1-й;115197.93;100946.03;Институтский пер., 5, корп. 6
911;Больница с аптекой;115254.57;100920.58;Институтский пер., 5, корп. 7
912;Корпус Большой офицерский (квартиры профессоров и аспирантов);115269.94;100752.40;Институтский пер., 5, корп. 9
913;Ваза парковая;115215.48;100552.82;Институтский пер., 5, оранжерея Ботанического сада Лесного института
914;Пруды (шесть) с протоками;115170.44;100557.00;Институтский пер., 5, парк
915;Особняк М.К. Тахтарева;115498.486;101657.3321;Институтский пр., 18, лит. А
916;Дом профессора Д.Н. Кайгородова со службами и зелеными насаждениями, XIX - нач. XX вв.;115614.56;101878.48;Институтский пр., 21-а
917;Дом инженера-технолога М.И. Данилевского со службами и зелеными насаждениями, XIX - нач. XX века;115510.02;101968.29;Институтский пр., 22
918;Церковь Преображения Господня;114220.36;98452.01;Инструментальная ул., 3
919;Запасной командный пункт КБФ;114254.38;98469.32;Инструментальная ул., д. 3, сооружение 1, лит. А
920;"Дача Безобразовых ""Жерновка""";121616.06;96199.24;Ириновский пр., 9
921;Дача;121623.84;96179.99;Ириновский пр., 9
922;Сад с прудом;121626.79;96161.02;Ириновский пр., 9
923;Памятник императору Николаю I;113311.50;93854.31;Исаакиевская пл.
924;Собор Исаакиевский;113238.39;94068.67;Исаакиевская пл.
925;Сквер Исаакиевский;113259.38;93959.06;Исаакиевская пл.
926;Собор;113182.78;94075.00;Исаакиевская пл.
927;Манеж и казармы Конногвардейского полка;112855.08;93985.89;"Исаакиевская пл., 1; Конногвардейский бульвар, 2, 4; Почтамтский пер., 1; Якубовича ул., 1, 3; Конногвардейский пер., 2"
928;Манеж;112977.29;94063.42;"Исаакиевская пл., 1; Конногвардейский бульвар, 2; Якубовича ул., 1"
929;"Скульптурные группы ""Диоскуры, укрощающие коней"" (две)";113031.43;94110.33;"Исаакиевская пл., 1; Конногвардейский бульвар, 2; Якубовича ул., 1"
930;Посольство Германии;113202.74;93889.42;"Исаакиевская пл., 11; Большая Морская ул., 41"
931;Дом министра государственных имуществ;113235.00;93820.45;"Исаакиевская пл., 13; Большая Морская ул., 44; Мойки р. наб., 89"
932;Министерство государственных имуществ;113406.75;93911.31;"Исаакиевская пл., 4; Большая Морская ул., 42; Мойки р. наб., 87"
933;Дом Закревского А.А. (Зубова П.А.) с дворовыми флигелями;113073.11;93998.66;Исаакиевская пл., 5
934;Дворец;113385.98;93704.16;Исаакиевская пл., 6
935;Сад;113353.54;93649.96;Исаакиевская пл., 6
936;Дворец Мариинский;113350.80;93678.91;"Исаакиевская пл., 6; Антоненко пер., 1; Вознесенский пр., 14"
937;Дом Мятлевых;113163.63;93940.12;"Исаакиевская пл., 9; Почтамтская ул., 2"
938;Памятник поэту Пушкину А.С.;114605.79;94436.81;Искусств пл.
939;Сквер;114606.18;94434.94;Искусств пл.
940;Театр Михайловский;114443.84;94508.93;"Искусств пл., 1; Инженерная ул., 1; Грибоедова кан. наб., 4"
941;Дом Голенищева-Кутузова П.В. Здесь в 1924-1939 гг. жил художник Бродский И.И.;114456.67;94459.71;Искусств пл., 3
942;Дом Виельгорского М.Ю.;114744.61;94359.00;"Искусств пл., 4; Итальянская ул., 6"
943;Дом Жако П.П.;114457.10;94425.62;"Искусств пл., 5; Итальянская ул., 4"
944;Дом В.П. Кончиелова;117327.97;93287.82;Исполкомская ул., 5, лит. А
945;Дом, где в 1888-1889 гг. жил художник Серов Валентин Александрович;114638.41;94310.39;Итальянская ул., 11
946;Портик служительских конюшен;114979.93;94297.91;Итальянская ул., 12
947;"Дом Лазаревых (""Палас-театр"")";114679.10;94297.41;Итальянская ул., 13
948;Дворец Шувалова И.И. (Вяземского А.А.);114915.94;94232.66;"Итальянская ул., 25; Малая Садовая ул., 1"
949;Санкт-Петербургское Благородное собрание;114991.86;94232.90;"Итальянская ул., 27; Малая Садовая ул., 2"
950;Дом жилой с дворовым флигелем;114509.28;94360.48;Итальянская ул., 5
951;Дворянское собрание;114611.16;94307.94;"Итальянская ул., 9; Михайловская ул., 2"
952;Чайный домик;114825.87;95448.82;К югу от Летнего дворца
953;Доходный дом Ведомства учреждений императрицы Марии (с тремя палисадниками и оградами);117416.67;95248.85;Кавалергардская ул., 12, лит. Б, В
954;Машинное отделение № 7 с котельной;117190.94;96143.89;Кавалергардская ул., д. 42, литера АН
955;Сеточное отделение;117234.11;96065.79;Кавалергардская ул., д.42, литера АБ
956;Пескомойня;117235.79;95993.12;Кавалергардская ул., д.42, литера АВ
957;Косая группа резервуаров;117379.28;96016.82;Кавалергардская ул., д.42, литера АЩ
958;Машинное отделение № 9 с котельной;117327.72;95936.85;Кавалергардская ул., д.42, литера Н
959;Машинное отделение № 4 с котельной;117126.49;95825.85;Кавалергардская ул., д.42, литера Ш
960;Машинное отделение № 5 с котельной;117160.78;95805.23;Кавалергардская ул., д.42, литера Щ
961;Главное здание Государственного оптического института имени С.И. Вавилова;112466.13;95108.89;Кадетская линия, 5, корп. 2, лит. В
962;Памятник полководцу Барклаю де Толли М.Б.;114192.69;94208.56;Казанская пл.
963;Памятник полководцу Кутузову М.И.;114288.16;94179.21;Казанская пл.
964;Сквер на Казанской площади;114240.17;94191.40;Казанская пл.
965;Собор. Здесь похоронен полководец Кутузов М.И. (1745-1813);114209.00;94110.44;Казанская пл., 2
966;Собор Казанский;114170.12;94137.94;Казанская пл., 2, Казанская ул., 3
967;Фонтан;114233.18;94172.06;Казанская пл., сквер
968;Дом Сорокиных (Толченова Г.К.);114006.97;93780.33;Казанская ул., 18 (б. ул. Плеханова)
969;Здание второй гимназии императора Александра I с жилым домом;113689.26;93658.29;"Казанская ул., 27; пер. Гривцова, 12"
970;Сквер у Казанского собора (Воронихинский);114110.38;94122.13;Казанская ул., 3
971;Ограда сквера;114076.22;94130.51;Казанская ул., 3
972;"Флигель служебный Сиротского института (""Казанский"")";114140.32;94188.96;Казанская ул., 3, корп. 7
973;Фонтан;114128.55;94117.57;Казанская ул., 3, сквер
974;Дом И. Иохима;113408.61;93516.75;Казанская ул., 39, лит. А
975;Опекунский совет;114020.27;93881.03;Казанская ул., 7
976;Дом, где в 1865-1928 гг. жил композитор Глазунов А.К.;114096.25;93896.94;Казанская ул., 8-10
977;Конюшни;114636.35;97536.17;Казарменный пер., 1
978;Дом, где в 1894-1895 гг. жил Ленин В.И.;114372.61;92894.57;Казачий пер., 7
979;Дом В.А. Ратькова-Рожнова;113527.98;93211.58;"Казначейская ул., 6/13; наб. кан. Грибоедова, 71"
