№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
293;3-я С.Петербургская гимназия с участком бывшего сада;95154.99;115200.28;"Гагаринская ул., 23; Соляной пер., 12"
294;Дворец Кушелева-Безбородко Н.А. (Юрьевской Е.М.) с дворовыми флигелями;95613.93;115130.01;Гагаринская ул., 3
295;"Дом, где у Шестаковой Людмилы Ивановны, сестры композитора Глинки Михаила Ивановича, в 1866-1871 гг., 1873-1878 гг. собирались участники ""Могучей кучки"" (кв. 7, 8, 9, 29 - б.кв. 6)";95161.37;115270.84;Гагаринская ул., 30, кв. 7, 8, 9, 29 (б. кв. 6)
296;Особняк Л.Н. Симонова (Столыпиных);95580.57;115151.67;Гагаринская ул., 5, лит. А
297;Дом В.П. Орлова-Давыдова;94096.65;112614.12;"Галерная ул., 19; Английская наб., 20; Замятин пер., 2"
298;Дом Утина И. Здесь в 1893 г. жил и в 1895 г. умер ученый-машиностроитель Вышнеградский Иван Алексеевич. Здесь в 1884-1888 гг. останавливался скульптор Антокольский Марк Матвеевич;94033.03;112691.71;"Галерная ул., 20; Леонова пер., 4; Конногвардейский булвар, 17"
299;Дом Г. Томсена (В.И. Асташева);93911.59;112303.93;"Галерная ул., 41; Английская наб., 40"
300;Особняк и дом А.В. Полежаева;93900.26;112284.68;"Галерная ул., 43; Английская наб., 42"
301;Особняк и дом И. Булычева (С.Б. Кафталя);93876.95;112238.63;"Галерная ул., 47; Английская наб., 46"
302;Дом Т.И. Игнатьева;93714.12;112112.91;Галерная ул., 48 лит. А
303;Дом Г. Радинга (А.Ф. Пистолькорс);93674.98;112108.42;Галерная ул., 50, лит. А
304;Дворец Бобринских;93613.46;112014.41;"Галерная ул., 58-60; Адмиралтейского кан. наб., 33; Ново-адмиралтейского кан. наб., 6"
305;Особняк С.В. Гвейера;93776.00;111961.91;Галерная ул., 73, лит. А
306;Особняк Е.Ф. Молво;93773.57;111938.91;Галерная ул., 75, лит. А
307;Дом Овандеров;93732.38;112121.56;Галерная ул., д. 46, лит. А
308;Чесменский дворец с флигелями;85542.85;114441.42;Гастелло ул., 15
309;Усадьба Орловых-Денисовых;103635.91;112242.36;Главная ул., 32
310;Дворец вел. кн. Кирилла Владимировича;92963.57;112730.53;Глинки ул., 13
311;Дом Ф.Камкова;66521.24;120770.81;город Павловск, улица Лебединая , дом 2, литера Б
312;Торговая лавка;107784.16;94809.51;город Сестрорецк, проспект Красных Командиров, дом 5/1, литера А
313;Дом Щербакова Г.И. (Кутайсова И.П., Гамбса Г.П.);94285.95;113389.45;"Гороховая ул., 1; Адмиралтейский пр., 8"
314;Дом И. Штрауха;93724.88;113827.62;"Гороховая ул., 25; Казанская ул., 21"
315;Дом Второго Российского общества страхования от огня с флигелями;94255.03;113406.55;Гороховая ул., 3
316;"Дом бывшего страхового общества ""Саламандра"" (фасады)";94313.51;113483.72;Гороховая ул., 4
317;Дом Васильевых;93361.61;114198.17;Гороховая ул., 40
318;Дом Компании для хранения и залога громоздких движимостей;93338.81;114136.65;Гороховая ул., 47
319;"Дом страхового общества ""Саламандра""";94282.27;113492.27;Гороховая ул., 6
320;Дом Домонтовичей;92848.58;114593.49;Гороховая ул., 66
321;Дом Миллера В.;93387.41;113590.43;Гражданская ул., 10
322;"Доходный дом и производственный корпус акционерного общества ""Словолитня и производство медных линеек Г. Бертгольд""";93429.64;113544.52;Гражданская ул., 13-15, лит. А
323;Жилой дом;93367.80;113398.65;Гражданская ул., 21, лит. А
324;Канцелярия Съезда мировых судей;93264.43;113379.90;"Гражданская ул., 26; Грибоедова кан. наб., 75"
325;Дом, где в 1893-1899 гг. жил Григорович Дмитрий Васильевич;93254.44;113339.95;"Гражданская ул., 28; Грибоедова наб.кан., 77; Вознесенский пр., 32"
326;В этом доме в 1895 г. на квартире П.К. Запорожца, В.И. Ленин неоднократно присутствовал на собраниях петербургской социал-демократической группы;93410.94;113626.55;Гражданская ул., 6
327;Дом, где жили: в 1912-1936 гг. - путешественник Грум-Гржимайло Г.Е., в 1914-1922 гг. - певец Шаляпин Ф.И.;98547.07;113127.63;Графтио ул., 2-б
328;Дом, где жили: в декабре 1905 г. - Ленин В.И. и Крупская Н.К., в 1919-1936 гг. - писатель Тынянов Ю.Н.;94272.33;116616.73;"Греческий пр., 15; 5-я Советская ул., 8"
329;Греческий сад;94452.14;116606.34;"Греческий пр., 8; Прудковский пер., 1-3"
330;Городское начальное училище им. Императора Александра 2;94358.98;116569.16;"Греческий пр., 8; Прудковский пер., 1-3"
331;Дом Алафузовой Л.А.;93274.32;112847.46;Грибоедова кан. наб., 101
332;Первое Санкт-Петербургское Общество взаимного кредита;94409.30;114306.95;Грибоедова кан. наб., 13
333;Дом Энгельгардта В.В. (Санкт-Петербургский учетный и ссудный банк);94254.11;114378.11;"Грибоедова кан. наб., 16; Невский пр., 30"
334;"Собор Воскресения Христова (""Спас на крови"")";94757.83;114454.74;Грибоедова кан. наб., 2-а
335;Дом Граббе М.М.;93656.61;113959.50;"Грибоедова кан. наб., 40; Гороховая ул., 26"
336;Дом ордена иезуитов;94376.21;114403.26;"Грибоедова кан. наб., 8; Итальянская ул., 1"
337;Дом купца Злобина;93221.56;113134.76;"Грибоедова кан. наб., 84; Большая Подьяческая ул., 1"
338;Первое Общественное собрание (Екатерининское);93228.19;113081.13;"Грибоедова кан. наб., 88-90; Средняя Подьяческая ул., 2"
339;Дом Т.Н. Любищевой с флигелями;92552.48;112220.30;Грибоедова наб.кан., 148-150
340;Дом С.С. Трайнина;92470.22;112101.10;Грибоедова наб.кан., 158
341;Усадьба Демидовых;93721.58;113540.37;"Гривцова пер., 1; Казанская ул., 29; Гривцова пер., 5; Мойки р. наб., 64"
342;Русское Географическое Общество;93678.09;113639.66;Гривцова пер., 10
343;Братские могилы, Могила Смирнова Николая Александровича (1917-1965 г.г.), Героя Советского Союза;88709.14;122102.94;Дальневосточный пр., 55, Невское мемориальное кладбище
344;Братская могила советских воинов, погибших в годы Великой Отечественной войны 1941-1945 гг.;82885.85;110261.06;Дачное, Народного Ополчения пр., воинское кладбище (между домами 143-145)
345;Здание церкви Богоявления;91239.28;110449.14;Двинская ул., 2
346;Набережная Дворцовая;95208.19;114045.05;Дворцовая наб. - левый берег р. Невы, от Троицкого моста до Дворцового моста
347;Дворец Великого князя Михаила Николаевича (Ново-Михайловский);95160.05;114091.90;"Дворцовая наб., 18; Миллионная ул., 19"
348;Дом Бецкого И.И. (принца Ольденбургского П.Г.);95441.70;114597.18;"Дворцовая наб., 2; Миллионная ул., 1; Лебяжьей канавки наб."
349;Дворец Великого князя Владимира Александровича;95067.32;113960.13;"Дворцовая наб., 26; Миллионная ул., 27"
350;Дом Гротена Ф. (Салтыкова Н.И.);95421.84;114554.77;"Дворцовая наб., 4; Миллионная ул., 3; Суворовская пл."
351;Особняк Громова И.Ф. (Ратькова-Рожнова В.А.);95268.70;114254.07;"Дворцовая наб., 8; Мраморный пер.; Миллионная ул., 7"
352;Летний сад;95280.64;114818.76;Дворцовая наб., Лебяжьего канала наб., Фонтанки р. наб., Мойки р. наб.
353;Штаб Гвардейского корпуса;94765.41;113832.81;"Дворцовая пл., 2-4; Миллионная ул., 40"
354;Братские могилы жителей Ленинграда, погибших при обороне Ленинграда в 1941-1943 г.г.;84817.00;120718.64;"Девятого Января пр., 4, кладбище ""Памяти жертв 9 января"""
355;Братская могила погибших 9 января 1905 г.;84830.86;120898.53;"Девятого Января пр., 4, кладбище ""Памяти жертв 9 января"""
356;"Памятник императору Петру I (""Медный всадник"")";94332.56;112959.35;Декабристов пл.
357;Сенат и Синод;94229.44;112900.82;"Декабристов пл., 1, 3; Английская наб., 2; Галерная ул., 1, 2; Конногвардейский бульв., 1"
358;Дом, в котором жил в 1867-1873 гг. Направник Эдуард Францевич;93396.66;113076.19;Декабристов ул., 16
359;Дом, где в 1912-1921 гг. жил поэт Блок А.А.;92934.35;111860.83;"Декабристов ул., 57; Пряжки р. наб., 22-24"
360;"Жилой комплекс Товарищества борьбы с жилищной нуждой (""Выборгский рабочий городок"")";99372.46;115535.67;"Диагональная ул., 8, лит. Е; 10, лит. Д"
361;Дом Ю.Д. Лужецкого и Н.С. Рудинского;97922.99;111335.58;Динамо пр., 18, лит. А
362;Особняк Путилова А.И. с флигелем, палисадником, оградой;98299.65;111811.25;Динамо пр., 2, 2-а
363;Дом, где в 1914-1949 гг. жил гидроэнергетик Графтио Генрих Осипович;95834.25;112848.55;Добролюбова пр., 15
364;Дом М.К. Чаплиц;95902.37;112742.59;Добролюбова пр., 21а, лит. А
365;Собор Князь-Владимирский;96048.37;112515.43;"Добролюбова пр.; Блохина ул., 26; Большой пр. П.С.; Храмов пер."
366;Братское захоронение воинов Советской Армии, погибших в годы Великой Отечественной войны 1941-1945 г.г.;107628.02;109091.61;Дорога на Каменку (у домика лесника)
367;Дом, где в 1846 г., 1878-1881 гг. жил писатель Достоевский Ф.М.;93299.92;115682.02;"Достоевского ул., 2; Кузнечный пер., 5"
368;Дом Г.В. Барановского;92836.62;115457.48;Достоевского ул., 36, лит. А
369;Дом Н.Н. Никонова;92822.01;115430.14;Достоевского ул., 38, лит. А
370;Дума городская с башней;94097.23;114451.85;"Думская ул., 1-3; Невский пр."
371;Мытный двор;93710.13;117234.78;Евгеньевская ул., 2, лит. А
372;Ансамбль Елагина острова;99109.77;110475.28;Елагин остров, 4
373;Братская могила советских воинов, погибших в годы Великой Отечественной войны 1941-1945 гг.;77513.73;132101.90;ж.д. ст. Понтонная
374;"Пост ""Цветочный"" Николаевской железной дороги, откуда в марте 1918 г. отправился поезд, на котором Советское правительство переехало из Петрограда в Москву";88638.67;114578.76;ж.д. ст. Цветочная Петербургского железнодорожного узла
375;Набережная стадиона им. В.И.Ленина (кольцевая);95996.83;112115.64;Ждановки р. наб.
376;Дом, где в 1863-1870 гг. жил физиолог Сеченов И.М.;94343.33;115762.99;"Жуковского ул., 10; Чехова ул., 2"
377;Дом купца Ш.З. Иоффе;93250.46;115239.83;"Загородный пр., 11; Рубинштейна ул., 40"
378;Дом, в котором в 1908-1915 гг. жил актер Варламов К.А.;93178.82;115135.58;"Загородный пр., 13; Ломоносова ул., 13"
379;Дом, где в 1906 г. находилась явочная квартира РСДРП;93091.69;114965.57;Загородный пр., 21
380;Дом А. Королевой (Ш.З. Иоффа);93096.71;115179.73;Загородный пр., 24, лит. А
381;Дом М.Е. Кузнецова;92993.45;114904.17;Загородный пр., 27/21, лит. А
382;Дом, где в 1893-1908 гг. жил композитор Римский-Корсаков Н.А.;93047.50;115112.72;Загородный пр., 28
383;Дом А.Н. Штальман;92692.64;114492.63;"Загородный пр., 45; Большой Казачий пер., 13"
384;Вокзал Витебский;92405.51;114518.33;Загородный пр., 52
385;Пожарное депо;92392.72;114257.86;Загородный пр., 56
386;Подворье Коневецкого монастыря;93317.62;115324.67;Загородный пр., 7
387;Комплекс казарм Семеновского и Егерского полков;92214.58;114500.97;"Загородный пр., д. 46, лит. А; д. 46, к. 2, лит. Б; д. 48, лит. А; д. 54, лит. А; Звенигородская ул., д. 1, лит. А; д. 3, лит. А; д. 5, лит. А; д.9-11, лит. Л; Лазаретный пер., д. 2, лит. И; Подъездной пер., д. 2, лит. А; Рузовская ул., д.4, лит А; д. 8,"
388;Особняк Мертенса Ф.Д.;98603.13;112105.11;Западная аллея, 1/2
389;"Постройки товарищества механического производства обуви ""Скороход""";89134.29;113736.61;"Заставская ул., 33, лит. БА, ТА; Московский пр., 107, корп. 5, лит. Т"
390;Канцелярия Военно-походная;95571.44;115900.11;Захарьевская ул., 17
391;Дом А.И. Нежинской;95569.79;116050.45;Захарьевская ул., 23, лит. А, Б, В
392;Особняк Нейдгардта Д.Б.;95567.87;116261.48;Захарьевская ул., 31
393;Придворный экипажный двор;95723.89;115879.25;Захарьевская ул., 8, лит. А
394;Типография (словолитня) Лемана;92419.55;115139.49;Звенигородская ул., 20
395;Дом, в котором жил в 1901-1913 гг. Крылов Алексей Николаевич. В 1907-1917 гг. здесь жил  Стеклов Владимир Андреевич;96231.54;112523.55;Зверинская ул., 6
396;Набережные и мосты Лебяжьего канала;95191.38;114732.95;Зимней канавки наб. - по обоим берегам, от Дворцовой наб. до р. Мойки наб.
397;Набережные и мосты Зимней канавки;94959.00;113841.72;Зимней канавки наб. - по обоим берегам, от Дворцовой наб. до р. Мойки наб.
398;Ансамбль улицы Зодчего Росси;93648.60;114806.62;"Зодчего Росии ул., 1-3, 2; Островского пл., 6, 11; Ломоносова пл., 1, 2, 4; Торговый пер., 2"
399;Особняк Ф. Тейхмана;90490.69;111879.77;Ивана Черных ул., 16, лит. К
400;Дом, где 30 июля 1917 г. заседал VI съезд РСДРП(б);90461.26;111902.33;Ивана Черных ул., 23
401;Жилмассив на Ивановской улице;87469.94;120798.31;"Ивановская ул., 19, лит. А; Ивановская ул., 17; лит. А, Ивановская ул., 13, лит. А; Ивановская ул.,  9/75, лит. А; Ивановская ул.,  8/77, лит. А; Ивановская ул., 14, лит. А; Ивановская ул., 20, лит. А; Ивановская ул., 26, лит. А"
402;Офицерская казарма лейб-гвардии Измайловского полка (бывший дом М.А. Гарновского);92320.65;113310.60;"Измайловский пр., 2; наб. р. Фонтанки, 120"
403;Комплекс казарм лейб-гвардии Измайловского полка;91872.34;113226.84;"Измайловский пр., 2а, лит. А; 6, лит. А; 8, лит. А; 9/2, лит. А, Б; 12, лит. А; 13, лит. А; 15, лит. А, Д; 17, лит. А; Троицкий пр., 4, лит. Б, В"
404;Собор Троицкий (Измайловский);92112.42;113183.05;Измайловский пр., 4-а, 7-а
405;Дворец Великого князя Михаила Павловича (Русский музей Императора Александра III);94670.93;114664.47;"Инженерная ул., 2, 4, 4-а; Грибоедова кан. наб., 2; Садовая ул., 1"
406;Институт Лесной (Академия лесотехническая);100753.91;115140.65;Институтский пер., 5
407;Особняк М.К. Тахтарева;101657.3321;115498.486;Институтский пр., 18, лит. А
408;Дом профессора Д.Н. Кайгородова со службами и зелеными насаждениями, XIX - нач. XX вв.;101879.42;115624.73;Институтский пр., 21
409;Дом инженера-технолога М.И. Данилевского со службами и зелеными насаждениями, XIX - нач. XX века;101985.13;115532.66;Институтский пр., 22
410;Церковь Преображения Господня;98451.15;114218.59;Инструментальная ул., 3
411;"Дача Безобразовых ""Жерновка""";96088.34;121585.21;Ириновский пр., 9
412;Памятник императору Николаю I;93854.77;113311.34;Исаакиевская пл.
413;Собор Исаакиевский;94032.56;113210.22;Исаакиевская пл.
414;Манеж и казармы Конногвардейского полка;93961.53;112822.05;"Исаакиевская пл., 1; Конногвардейский бульвар, 2, 4; Почтамтский пер., 1; Якубовича ул., 1, 3; Конногвардейский пер., 2"
415;Посольство Германии;93890.12;113197.31;"Исаакиевская пл., 11; Большая Морская ул., 41"
416;Дом министра государственных имуществ;93818.86;113232.43;"Исаакиевская пл., 13; Большая Морская ул., 44; Мойки р. наб., 89"
417;Министерство государственных имуществ;93902.21;113413.18;"Исаакиевская пл., 4; Большая Морская ул., 42; Мойки р. наб., 87"
418;Дом Закревского А.А. (Зубова П.А.) с дворовыми флигелями;93996.72;113070.39;Исаакиевская пл., 5
419;Дворец Мариинский;93681.01;113372.94;Исаакиевская пл., 6
420;Дом Мятлевых;93929.06;113151.60;"Исаакиевская пл., 9; Почтамтская ул., 2"
421;Сквер;94434.94;114606.18;Искусств пл.
422;Театр Михайловский;94508.67;114440.79;"Искусств пл., 1; Инженерная ул., 1; Грибоедова кан. наб., 4"
423;Дом Голенищева-Кутузова П.В. Здесь в 1924-1939 гг. жил художник Бродский И.И.;94470.07;114457.17;Искусств пл., 3
424;Дом Виельгорского М.Ю.;94363.12;114748.27;"Искусств пл., 4; Итальянская ул., 6"
425;Дом Жако П.П.;94431.83;114452.58;"Искусств пл., 5; Итальянская ул., 4"
426;Дом В.П. Кончиелова;93288.62;117329.20;Исполкомская ул., 5, лит. А
427;Дом, где в 1888-1889 гг. жил художник Серов Валентин Александрович;94304.15;114646.02;Итальянская ул., 11
428;"Дом Лазаревых (""Палас-театр"")";94297.06;114679.40;Итальянская ул., 13
429;Дворец Шувалова И.И. (Вяземского А.А.);94230.93;114913.27;"Итальянская ул., 25; Малая Садовая ул., 1"
430;Санкт-Петербургское Благородное собрание;94231.75;114992.97;"Итальянская ул., 27; Малая Садовая ул., 2"
431;Дворянское собрание;94307.69;114611.14;"Итальянская ул., 9; Михайловская ул., 2"
432;Доходный дом Ведомства учреждений императрицы Марии (с тремя палисадниками и оградами);95232.92;117341.67;Кавалергардская ул., 12, лит. Б, В
433;Главное здание Государственного оптического института имени С.И. Вавилова;95087.30;112479.42;Кадетская линия, 5, корп. 2, лит. В
434;Памятник полководцу Кутузову М.И.;94177.84;114288.77;Казанская пл.
435;Памятник полководцу Барклаю де Толли М.Б.;94207.51;114192.80;Казанская пл.
436;Собор Казанский;94136.73;114189.45;"Казанская пл., 2; Казанская ул., 3"
437;Дом Сорокиных (Толченова Г.К.);93778.49;114009.21;Казанская ул., 18
438;Здание второй гимназии императора Александра I с жилым домом;93662.31;113690.51;"Казанская ул., 27; пер. Гривцова, 12"
439;Дом И. Иохима;93516.27;113409.66;Казанская ул., 39, лит. А
440;Опекунский совет;93881.03;114020.27;Казанская ул., 7
441;Дом, где в 1865-1928 гг. жил композитор Глазунов А.К.;93895.56;114097.90;Казанская ул., 8-10
442;Дом В.А. Ратькова-Рожнова;93213.83;113528.57;"Казначейская ул., 6/13; наб. кан. Грибоедова, 71"
443;Дом Н.И. Олонкина, в котором в 1864-1867 годах жил Ф.М. Достоевский;93292.32;113551.31;"Казначейская ул., 7; Столярный пер., 14"
444;Памятник государственному деятелю Калинину М.И.;98134.45;117631.36;Калинина пл.
445;Быв. дом Воейковой;97096.43;113758.77;Каменноостровский пр., 19/17
446;Дом жилой;96634.49;113897.77;Каменноостровский пр., 2
447;Лицей Императорский Александровский;97217.09;113739.26;"Каменноостровский пр., 21-23; Большая Монетная ул., 12-14; Рентгена ул., 1"
448;Дом, где в 1926-1934 гг. в квартире 20 жил секретарь Ленинградского губкома ВКП(б) Киров С.М.;97234.39;113575.72;Каменноостровский пр., 26-28
449;Дом эмира Бухарского (лицевой дом и 5 флигелей);97906.71;113266.52;Каменноостровский пр., 44-б
450;Особняк Покотиловой М.К.;98107.52;113199.96;Каменноостровский пр., 48
451;Особняк графа Витте С.Ю.;96675.77;113953.10;Каменноостровский пр., 5
452;Дом А.Е.Вяземского и здание механической мастерской Р.М.Ветцера;98361.47;113073.39;Каменноостровский пр., 58-60, лит. В (В1, В2, В3, В4, В5, В8)
453;Дом инженера Циммермана А.Ф.;98410.70;113154.09;"Каменноостровский пр., 61; Чапыгина ул., 2"
454;Дом доходный Сомова (Маркова);98448.03;113135.33;Каменноостровский пр., 63
455;Дом доходный Маркова;98487.63;113122.53;Каменноостровский пр., 65
456;Дом жилой работников Всесоюзного института экспериментальной медицины;98601.08;113122.12;Каменноостровский пр., 69-71
457;Дом Петроградского товарищества постоянных квартир (лицевой дом с курдонером, 6 флигелями и оградой во дворе). Здесь жил М.Л.Лозинский с 1915 по 1955 гг.;98669.51;113060.95;"Каменноостровский пр., 73-75; Академика Павлова ул., 16"
458;Усадьба Игеля Э.Г.;98415.70;113064.94;Каменноостровский пр., д. 58-60, лит. А
459;Памятник физику Попову А.С.;97840.02;113419.58;Каменноостровский пр., сквер между домами 39 и 41
460;"Парк ""Тихий отдых""";98986.18;112141.68;Каменный остров
461;Кладбище Смоленское православное;95088.14;109916.75;"Камская ул., 11, 16, 18, 20, 22, 24; Малый пр. В.О.; Беринга ул.; наб. р. Смоленки"
462;Кладбище Волковское православное;90449.26;116096.32;"Камчатская ул., 6; Расстанная ул., 7-а, 30; Расстанный проезд, 7-а"
463;Жилой дом;92499.44;112327.63;Канонерская ул., 13
464;Дом Санкт-Петербургского губернского кредитного общества;94322.14;115211.00;"Караванная ул., 12; Фонтанки р. наб., 15"
465;"Дом жилой страхового общества ""Саламандра и др.""";94126.76;115094.59;Караванная ул., 9
466;Круглая баня;101119.23;116310.50;Карбышева ул., 29-а
467;Дом жилой Ленсовета Первый;97936.47;113518.71;Карповки р. наб., 13
468;Дом, где в июле в 1917 г. нелегально жил Ленин В.И.;98119.84;113331.99;Карповки р. наб., 25, кв. 18 и 34
469;Дом, где в октябре 1917 г. ЦК РСДРП(б) принял решение о подготовке к вооруженному восстанию в Петрограде;98042.65;112846.31;Карповки р. наб., 32
470;Иоанновский монастырь;98167.68;112843.41;Карповки р. наб., 45
471;"Мемориал в память обороны города в 1941-1944 гг. - ""Зеленый пояс Славы Ленинграда"". ""Пулковский рубеж""";75204.01;114714.40;Киевское шоссе, 20-й км
472;Обелиск казненным в 1826 г. декабристам Бестужеву-Рюмину М.П., Муравьеву-Апостолу С.И., Каховскому П.Г., Пестелю П.И., Рылееву К.Ф.;96283.61;109326.90;КИМа пр.
473;"Римско-католическое убежище Благотворительного общества для бедных мальчиков (т.н. ""Дом Кербедзя"")";94352.85;117558.55;"Кирилловская ул., 19; Новгородская ул., 12"
474;Особняк Тряничева В.А. (Башкирова Н.Н.);94014.50;117278.82;Кирилловская ул., 4
475;Памятник государственному деятелю Кирову С.М.;89844.79;111597.05;Кировская пл.
476;Бывш. дом Лидваля;96646.05;113999.94;Кировский пр., 1-3 (ныне Каменноостровский пр.)
477;Дом Д.А. Дурдина;95221.88;115850.31;Кирочная ул., 12, лит. А
478;Дом А.М. Александрова;95158.52;116186.88;Кирочная ул., 19, лит. А
479;Казармы Преображенского полка;95112.85;116593.04;"Кирочная ул., 31, 33, 35, 35-а, 37; Радищева ул., 41"
480;Дом А.В. Ратькова-Рожнова;95222.83;116370.64;Кирочная ул., 32-34, лит. А
481;Суворовский музей;95115.00;117101.89;Кирочная ул., 43
482;Дом А.И. Шульгина;95056.58;117221.33;Кирочная ул., 45, лит. А
483;Мариинский институт;95142.31;117323.52;Кирочная ул., 54
484;Дом И.М. Екимова;95223.42;115652.38;Кирочная ул., 6, лит. А
485;Церковь евангелическо-лютеранская Святой Анны;95270.55;115741.33;Кирочная ул., 8
486;"Братские могилы: рабочих завода имени М.И. Калинина, воинов Советской Армии, профессоров Академии художеств, экипажа подводной лодки ""Щ-323""";95548.14;109867.93;Кладбище на острове Декабристов
487;Церковь римско-католическая Нотр-Дам де Франс;94425.44;116018.80;Ковенский пер., 7
488;Особняк Брусницыных с садом и оградой;92797.24;110142.62;Кожевенная линия, 27
489;"Особняк, фабрика и богадельня ""Торгового дома Брусницыных""";93044.88;110234.62;"Кожевенная линия, 27, 28, 29, 30; Косая линия, 15б"
490;Собственный дом Н.Н.Никонова;93427.78;115732.31;Колокольная ул., 11
491;Дом Ш. Николаи;93443.34;115756.98;Колокольная ул., 13, лит. А
492;Дом В.А. Вельяшева;93459.6144;115658.9396;Колокольная ул., 5, лит. А
493;Городской сиротский дом им. генерала от инфантерии Г.Г. Белоградского;93480.9676;115762.6344;Колокольная ул., 6, лит. А
494;Дом Э.П. Дубровича;92786.8928;115770.4588;Коломенская ул., 33/40, лит. А
495;Дом, где жили: в 1882-1910 гг. - композитор Балакирев М.А., в 1893-1895 гг. - революционер Кржижановский Г.М.;93154.19;115861.39;Коломенская ул., 7
496;Дом Граббе;103121.61;112737.70;Коломяги, 3-я линия 2-я половина, 2
497;Место, где 27 января 1837 г. состоялась дуэль поэта Пушкина А.С. с Дантесом Э.;100905.62;112932.60;"Коломяжский пр., сквер у ж.д.ст. ""Новая деревня"""
498;Дом, где в 1905-1906 гг. у Книповича Н.М. Ленин Владимир Ильич проводил совещания ( кв. 6 и 16 - б. кв. 16);96862.03;112811.30;Колпинская ул., 3
499;Арсенал;96464.49;116805.01;"Комсомола ул., 1, 2, 3; Арсенальная наб., 1"
500;"Дом, где в ноябре 1895 г. была образована общегородская социал-демократическая организация ""Союз борьбы за освобождение рабочего класса""";96332.73;116168.77;"Комсомола ул., 12; Михайлова ул., 4"
501;Дом, в котором с 1850 по 1856 гг. жил Бородин Александр Порфирьевич;96511.10;115759.28;Комсомола ул., 49 (кв. Бородина А.П.)
502;"Памятник ""Героическому комсомолу""";87394.88;110622.00;Комсомольская пл.
503;Бульвар Конногвардейский;93968.49;112725.68;Конногвардейский бульвар
504;Дом военного инженера С.В. Яфимовича;94138.25;112909.24;Конногвардейский бульвар, 3
505;Дом Кочубея М.В.;94095.36;112836.66;Конногвардейский бульвар, 7
506;Конюшенное ведомство, 1720-1723 гг., арх.Гербель Н.Ф., 1810 г., арх.Руска Л., 1817-1823 гг., арх.Стасов В.П., ск. Демут- Малиновский В.И.;94919.41;114299.21;"Конюшенная пл., 1; Конюшенный пер., 2; Мойки р. наб., 4; Грибоедова кан. наб., 1"
507;"Особняк нач. ХХ в., на месте существовавшей дачи ""Бельмонт"" с участком";106424.85;113226.40;Корякова ул., 20
508;Котельная мастерская Балтийского судостроительного завода;92861.21;110653.72;Косая линия, 16
509;Ниеншанц (Охта 1) Шведская крепость 1611-1703 гг., участки культурного слоя неолита и раннего металла V-II тыс. до н. э. и грунтового могильника XVI-XVII вв.;95172.20;118773.42;Красногвардейская пл., 2 (между р. .Невой и левым берегом устья р. Охты)
510;Казармы Новочеркасского полка;94668.52;118932.94;Красногвардейская пл., д. 3, литеры Б4-Б8, Б12, В, Д, Ф
511;Административное здание завода К.К.Экваля;99499.05;114053.89;Красногвардейский пер., 15-17
512;Административное здание абразивного завода Н.Н. Струка;99591.46;113939.85;Красногвардейский пер., 21-23
513;Производственное здание;99619.38;113916.03;Красногвардейский пер., 23, лит. Е
514;Особняк Н.Н. Струка;99555.16;113943.18;Красногвардейский пер., 23, лит.Д
515;Корпус Кадетский Второй;96623.30;111999.95;Красного Курсанта ул., 14, 16, 18
516;Здание, где с 1886 г. размещалось военно-топографическое училище, в котором преподавали Цингер Н.Я. и Витковский В.В.;96655.95;112160.32;Красного Курсанта ул., 17
517;"Комплекс построек чулочно-трикотажной фабрики ""В.П.Керстен""";96998.00;111740.75;"Красного Курсанта ул., д. 25, лит. А, В, Д, Ж; д. 31, строение 1"
518;Дома Тенишевых (М.К.Чаплиц);94144.10;112687.35;Красного Флота наб. (ныне Английская наб.), 14, ул. Галерная, 13
519;Театр Каменноостровский;98814.90;111447.47;Крестовки р. наб., 10
520;Новая дача (Министерская);98719.28;111668.76;Крестовки р. наб., 11
521;Дом Вургафта с участком парка;98521.73;111824.72;Крестовки р. наб., 2
522;Собственная дача;98662.29;111726.83;Крестовки р. наб., 7
523;Приморский парк Победы;98248.34;109536.55;Крестовский остров
524;Усадьба Белосельских-Белозерских;97772.75;110443.17;"Крестовский остров; Крестовский пр., 20, 22, 34"
525;Дом, где в 1914-1921 гг. жил писатель Горький А.М.;96639.74;113851.41;Кронверкский пр., 23
526;"Быв. дом городских учреждений ""Городск. дом""";96561.40;113385.44;Кронверкский пр., 49
527;Дом Второго Каменноостровского товарищества устройства постоянных квартир (с кирпичной оградой и скульптурами львов);96386.39;114201.79;Кронверкский пр., 5, лит. А
528;Здание мечети;96439.29;114177.56;Кронверкский пр., 7
529;Александровский парк (парк им. В.И.Ленина);96412.28;113589.86;"Кронверкский пр.; Александровский парк"
530;Набережные и мосты Кронверкского пролива;96118.48;113838.59;Кронверкский пролив - по обоим берегам, от Троицкого моста до Кронверкского моста
531;Доходный дом Р.Г.Веге;92902.05;112698.42;"Крюкова кан. наб., 14; Римского-Корсакова пр., 41"
532;Дом купца Никитина;92530.74;112765.82;"Крюкова кан. наб., 21; Садовая ул., 64"
533;Дом, где жили: в 1877-1916 гг. - композитор Направник Э.Ф., в 1882-1908 гг. - композитор Стравинский И.Ф., в 1946-1982 гг. - геолог Наливкин Д.В.;93272.07;112580.47;"Крюкова кан. наб., 6-8; Декабристов ул., 27"
